,Region,Year,Average BMI (kg/m²)
59,Americas,1992,24.81142857142857
60,Americas,1993,24.914285714285718
61,Americas,1994,25.011428571428578
62,Americas,1995,25.12285714285714
63,Americas,1996,25.231428571428566
64,Americas,1997,25.34285714285714
65,Americas,1998,25.451428571428572
66,Americas,1999,25.55714285714286
67,Americas,2000,25.66571428571429
68,Americas,2001,25.774285714285714
69,Americas,2002,25.86857142857143
70,Americas,2003,25.988571428571426
71,Americas,2004,26.085714285714285
72,Americas,2005,26.18571428571429
73,Americas,2006,26.285714285714295
74,Americas,2007,26.377142857142854
75,Americas,2008,26.47428571428571
76,Americas,2009,26.577142857142857
77,Americas,2010,26.665714285714287
78,Americas,2011,26.771428571428572
79,Americas,2012,26.868571428571435
80,Americas,2013,26.968571428571426
81,Americas,2014,27.057142857142857
82,Americas,2015,27.159999999999993
83,Americas,2016,27.262857142857136
84,Eastern Mediterranean,1975,22.976190476190474
85,Eastern Mediterranean,1976,23.109523809523804
86,Eastern Mediterranean,1977,23.200000000000003
87,Eastern Mediterranean,1978,23.314285714285713
88,Eastern Mediterranean,1979,23.43333333333333
89,Eastern Mediterranean,1980,23.528571428571432
90,Eastern Mediterranean,1981,23.61904761904762
91,Eastern Mediterranean,1982,23.723809523809525
92,Eastern Mediterranean,1983,23.842857142857138
93,Eastern Mediterranean,1984,23.976190476190478
94,Eastern Mediterranean,1985,24.071428571428573
95,Eastern Mediterranean,1986,24.171428571428567
96,Eastern Mediterranean,1987,24.26190476190476
97,Eastern Mediterranean,1988,24.36190476190476
98,Eastern Mediterranean,1989,24.452380952380953
99,Eastern Mediterranean,1990,24.576190476190472
100,Eastern Mediterranean,1991,24.67142857142857
101,Eastern Mediterranean,1992,24.761904761904766
102,Eastern Mediterranean,1993,24.83809523809524
103,Eastern Mediterranean,1994,24.919047619047618
104,Eastern Mediterranean,1995,25.009523809523813
105,Eastern Mediterranean,1996,25.109523809523807
106,Eastern Mediterranean,1997,25.166666666666668
107,Eastern Mediterranean,1998,25.276190476190475
108,Eastern Mediterranean,1999,25.380952380952387
109,Eastern Mediterranean,2000,25.47142857142857
110,Eastern Mediterranean,2001,25.538095238095234
111,Eastern Mediterranean,2002,25.571428571428573
112,Eastern Mediterranean,2003,25.661904761904765
113,Eastern Mediterranean,2004,25.752380952380957
114,Eastern Mediterranean,2005,25.800000000000004
115,Eastern Mediterranean,2006,25.85714285714286
116,Eastern Mediterranean,2007,25.95714285714285
117,Eastern Mediterranean,2008,26.01904761904762
118,Eastern Mediterranean,2009,26.071428571428573
119,Eastern Mediterranean,2010,26.17142857142857
120,Eastern Mediterranean,2011,26.23333333333334
121,Eastern Mediterranean,2012,26.30952380952381
122,Eastern Mediterranean,2013,26.38095238095238
123,Eastern Mediterranean,2014,26.466666666666665
124,Eastern Mediterranean,2015,26.580952380952382
125,Eastern Mediterranean,2016,26.64761904761905
126,Europe,1975,24.08039215686274
127,Europe,1976,24.141176470588235
128,Europe,1977,24.209803921568632
129,Europe,1978,24.264705882352942
130,Europe,1979,24.333333333333332
131,Europe,1980,24.392156862745093
132,Europe,1981,24.45882352941177
133,Europe,1982,24.523529411764716
134,Europe,1983,24.576470588235292
135,Europe,1984,24.647058823529402
136,Europe,1985,24.7
